NumberofOfficers,GrossLoanPortfolio,NumberofActiveBorrowers,NumberofLoansOutstanding,ShortTermDelinquency,LongTermDelinquency,AvgLoanPerBorrower,CostperBorrower,BorrowersPerLoanOfficer,Profit
129,45879816,7128,7128,15137,0,6437,835,55,429522
126,51303224,7165,7165,40622,0,7160,951,57,-690899
117,62444134,7260,7260,20064,0,8601,1282,62,300511
117,62444134,7260,7260,20064,0,8601,1002,62,282728
111,65081777,7147,7147,21631,0,9106,1257,64,345391
55,4775007,9351,10173,92388,245465,511,105,170,212786
58,4305518,7833,7833,26105,129466,550,151,135,4532
58,4305518,7833,7833,26105,129466,550,122,135,340916
50,4127575,8171,9119,19737,108105,505,131,163,89223
45,3890380,7567,8355,11563,115831,514,150,168,114934
47,3752939,7244,7963,5811,119703,518,123,154,142290
47,3789428,7140,8042,11032,139150,531,173,152,54847
47,3795338,6999,7394,270057,121782,542,203,149,-173586
49,3824291,7122,7430,73373,122379,537,187,145,43940
49,4047608,6962,7586,220159,107785,581,189,142,5402
47,4525162,7373,8132,104798,100591,614,183,157,36851
47,4997464,7487,8337,55393,106758,667,128,159,133525
47,4997464,7487,8337,55393,106758,667,171,159,211914
51,5228719,7659,8643,58618,56538,683,164,150,124599
52,5709778,8671,9893,23576,53731,658,154,167,130500
54,6342247,9279,9279,34374,66864,684,158,172,152428
55,6850985,9990,11373,11688,77116,686,133,182,148161
55,6850985,9990,11373,11688,77116,686,146,182,523527
57,6939768,10685,12077,92722,76432,649,146,187,174279
61,7149278,11159,12613,81675,80870,641,136,183,177349
57,6903834,10775,12105,56690,94898,641,134,189,215783
58,7286385,10698,12043,51246,109454,681,108,184,123716
58,7353168,10698,12043,51247,109474,687,132,184,691128
62,6834611,10907,12163,45565,84552,627,156,176,112518
60,7248793,12140,13370,53299,125302,597,147,202,105324
70,7465192,13027,13027,45649,144578,573,90,186,97974
67,7850281,13697,13697,15934,162583,573,120,204,65100
67,7916744,13761,15098,15933,162583,575,57,205,448292
75,7181893,13851,15020,34145,113537,519,140,185,156317
79,7152555,14252,15363,15940,129409,502,133,180,112666
75,7384511,14349,15418,22879,151771,515,143,191,169250
186,6370704,37107,37771,4350,214326,172,29,200,-10658
135,6166688,23636,23899,11143,256962,261,36,175,44742
133,6613531,23891,23891,22240,268080,277,34,180,85752
130,6360801,23136,481878915,10140,176184,275,46,178,-9753
130,6360801,23136,481878915,10140,176184,275,36,178,113768
29,291729,6032,6032,44,0,48,4,208,11095
32,331890,7371,7371,6913,0,45,4,230,2631
36,373425,8383,8383,887,176,45,6,233,4712
38,685302,10325,10325,1256,163,66,3,272,9766
38,753017,9757,9757,784,0,77,4,257,9569
38,753017,9757,9757,784,0,77,4,257,27414
38,766699,10883,10883,1023,0,70,5,286,6853
34,785418,11272,11272,808,1467,70,4,332,4879
35,915728,11433,11433,441,1126,80,1,327,951
20,254422,1773,1773,12047,6924,144,24,89,64973
14,271109,1672,1672,9464,48790,162,26,119,576
34,1860469,7573,7945,183503,0,246,167,223,-276289
32,1863937,7055,7179,125541,0,264,221,220,-413630
35,1629865,8494,8542,119856,0,192,167,243,-196554
827,933051458,336841,413074,54621482,20415825,2770,675,407,12975888
841,1204056821,484346,613841,84494824,32661213,2486,349,576,35408442
899,1189969050,474243,598535,88373142,35336161,2509,189,528,2778612
929,1100086056,445712,536096,104654734,12661753,2468,315,480,14394441
874,806671642,253305,300880,81990133,12506155,3185,513,290,-6816072
874,806671642,253305,300880,81990133,12506155,3185,238,290,68462011
838,844123240,252749,307901,99829622,11682745,3340,433,302,7711329
837,894237963,261926,322876,73374900,14024959,3414,200,313,19424900
835,912558960,262129,330127,73221676,13421123,3481,245,314,69478951
849,947315745,263667,337294,86090680,10982987,3593,577,311,24998754
862,983303444,264060,334756,104844180,15746902,3724,203,306,26991471
862,983303444,264060,334756,104844180,15746902,3724,195,306,110548789
840,994512629,257701,324230,106242770,12226626,3859,199,307,24019445
857,1031171714,256514,322415,106791931,12548280,4020,208,299,30394518
43,4595587,6368,6368,1118454,0,722,129,148,317982
5,237308,478,478,0,4184,496,93,96,35937
6,372587,648,648,0,2453,575,109,108,17911
7,407945,673,673,0,2414,606,137,96,10126
6,461291,714,714,35326,2832,646,368,119,44611
6,486869,710,710,0,2978,686,486,118,65127
6,486869,710,710,0,2978,686,128,118,65270
7,492372,687,687,0,3336,717,128,98,14614
7,494672,728,728,0,5379,679,128,104,17222
35,1489472,14850,14850,140518,28944,100,18,424,9626
10,221374,3184,3184,0,125,70,8,318,19089
1361,78665504,389647,444839,36559,1579548,202,28,286,4116563
1367,76393269,366428,421662,93006,2555202,208,75,268,3450393
1367,84533954,365667,417652,191604,2081878,231,121,267,4957487
1368,81308854,365667,417652,191604,20818780,222,30,267,4952378
1542,105333878,385537,385537,209214,1981853,273,34,250,5005765
1540,110188067,398358,454931,241098,2336263,277,68,259,2097464
1658,135380361,432469,492836,353403,2441114,313,58,261,1364048
1658,138715829,432469,492836,353403,2441114,321,40,261,5776107
1704,133011312,434548,462222,525251,2815284,306,32,255,2247389
1734,158111556,459672,515340,466245,2879484,344,34,265,1956129
1758,175622578,480190,554605,286135,3153747,366,30,273,4234350
1785,190621925,490032,490032,393679,2736680,389,50,275,3260848
1785,190628338,490032,541344,393679,2736680,389,39,275,11593341
1813,179790658,487214,520743,582439,2984040,369,37,269,4411380
1865,194306544,493025,552907,622483,3150594,394,35,264,3745376
1892,203851757,497882,577338,559657,3781982,409,37,263,4885470
1921,191379127,489007,535888,699015,3864025,391,103,255,-7225235
1921,191429495,489007,535888,699015,3864025,391,43,255,15216995
1901,174826819,481801,508009,540599,4607814,363,39,253,4671015
1915,185476665,486068,527008,540163,5179034,382,39,254,2698338
1897,210123836,507275,576237,399779,5593591,414,36,267,4132839
1905,216863097,518334,565116,632908,6004159,418,66,272,3587607
1905,216863097,518334,565116,632908,6004159,418,40,272,15091154
1192,105789940,413473,413473,2917456,3563827,256,17,347,569871
1129,122484156,464398,488603,2779509,3293899,264,18,411,525771
1070,133450501,539240,546745,1733144,3045263,247,15,504,926716
1153,148185477,578263,591142,1262697,1271765,256,13,502,1170309
1133,160175771,598459,619278,1287104,340280,268,53,528,3981561
1133,160175771,598459,619278,1287104,340280,268,15,528,4049621
1125,156680144,611383,637762,3633293,365722,256,13,543,1283589
141,8846791,56439,56439,260,0,157,43,400,643677
139,8466423,58753,58753,137,0,144,47,423,-371360
143,8028936,58943,58943,152630,0,136,46,412,-769236
143,8028936,58943,58943,152630,0,136,44,412,-1481730
184,11486428,71978,72067,4722,0,160,58,391,173217
289,13042761,80769,81571,9785,0,161,55,279,9121
343,14631298,93203,94027,229859,7290,157,57,272,-435315
403,15029077,104157,104885,58885,0,144,50,258,-501546
481,22216857,137322,138171,11185,1212,162,45,285,-157431
502,26947330,161291,162346,13065,454,167,45,321,-303050
526,28375448,174874,175876,24455,0,162,39,332,44108
538,31982818,178693,179018,16397,0,179,45,332,184777
531,33909833,183521,184176,26544,0,185,43,346,430917
550,39643165,186252,186577,86469,0,213,36,339,1690931
584,42805188,183096,183571,28363,0,234,47,314,573262
609,51020088,190999,191511,44494,0,267,48,314,593930
100,7040544,36563,36563,36611,0,193,53,366,179643
139,11112908,53984,57229,25837,0,206,48,388,109341
182,19183535,76633,81143,61623,0,250,48,421,409001
405,48025552,156742,156742,34000,32000,306,50,387,2407411
466,61602552,191974,191974,83616,54586,321,52,412,2640625
508,66520324,192968,192968,103833,90122,345,55,380,537557
526,72773703,199661,199661,219580,37528,364,58,380,579320
548,81129184,219252,219252,168861,81917,370,61,400,617253
556,90901505,228948,228948,108245,39113,397,60,412,850901
556,90901505,228948,228948,108245,39113,397,58,412,2582595
611,100791736,229075,229075,220267,113351,440,67,375,873075
635,105318018,237891,237891,331773,33712,443,66,375,751808
642,119576648,268114,268114,268199,204725,446,68,418,890810
639,126332036,270341,270341,232766,112079,467,62,423,1468402
639,126332036,270341,270341,232766,112079,467,65,423,3880813
712,132926359,265354,265354,386338,370580,501,75,373,1164964
732,137297975,267077,267077,581666,222360,514,79,365,507473
702,141128143,259341,259341,803261,592490,544,75,369,1016274
655,145366791,238990,238990,828759,475845,608,77,365,754907
655,145366790,238990,238990,828759,475845,608,78,365,3447017
648,152883291,190359,214065,1084093,1205496,803,89,294,960316
646,155049019,168045,187367,744383,1149410,923,101,260,934213
650,163827257,168045,169772,1041445,2202014,975,105,259,707129
668,170463243,144881,162829,449453,1610123,1177,116,217,474308
668,170463243,144881,162829,449453,1610123,1177,103,217,3073632
663,174222073,134380,151995,717985,984546,1296,138,203,1137341
649,178977385,136773,154512,549801,818179,1309,140,211,1166877
685,198474033,136744,153508,461712,950181,1451,143,200,452688
687,218330376,137017,153068,277644,928454,1593,159,199,1325345
687,218330377,137017,153068,277644,928454,1593,144,199,4139140
700,243784451,134508,149894,558450,597201,1812,152,192,2734905
787,268035106,133899,149498,400319,430868,2002,169,170,3142541
8,5664166,37137,37137,5562,1515,153,6,4642,32621
59,2131662,9186,9186,0,6543,232,31,156,24978
26,1528782,4936,4936,1513407,4058,310,32,190,25693
26,1572414,5587,5587,3805,4128,281,41,215,12693
26,1572414,5953,5953,3805,4128,264,35,229,22521
26,1426329,5430,5430,2180,5782,263,35,209,14863
26,1401226,4875,4875,980,5132,287,38,188,9915
26,1388710,4796,4796,1620,5366,290,38,184,6890
