NumberofOfficers,GrossLoanPortfolio,NumberofActiveBorrowers,NumberofLoansOutstanding,ShortTermDelinquency,LongTermDelinquency,AvgLoanPerBorrower,CostperBorrower,BorrowersPerLoanOfficer,Profit
77,197620373,24384,26131,38281107,4617318,8105,746,317,190943
87,195887374,23721,25364,36983166,1477696,8258,784,273,1242817
89,196045027,23823,25438,41184578,1002447,8229,800,268,796086
89,196045027,23823,25438,41184578,1002447,8229,771,268,2340157
88,196867500,24206,25834,42492282,1203893,8133,799,275,188962
86,194976069,24563,26175,50081647,689171,7938,868,286,1101204
101,48614048,41070,42752,370479,824923,1184,209,407,177944
112,56605780,40682,41988,406225,1755624,1391,196,363,1166208
113,75376876,40079,41590,416757,2509221,1881,256,355,1616340
132,98589577,43631,45226,809220,3413607,2260,320,331,997732
121,92973263,37995,38879,1549779,6424343,2447,307,314,-824642
116,88830340,30207,30768,962777,4015466,2941,344,260,1233266
107,95036369,27325,27780,621485,3716329,3478,439,255,2315502
34,7494326,8234,8390,139919,75971,910,329,242,57843
32,6912171,7494,7623,681371,218502,922,324,234,-554158
32,5997167,6564,6635,106269,42036,914,361,205,197882
30,5154705,5972,6042,78886,31323,863,356,199,57279
274,411975760,302690,451702,30582669,3245849,1361,187,1105,19716249
176,424003733,380451,479086,36282187,6588434,1114,148,2162,22941554
132,400938308,340561,421355,36021110,6384626,1177,139,2580,18044186
135,475089800,322363,389653,40984116,7003171,1474,158,2388,22416042
802,640582387,142270,156674,1085787,5266346,4503,494,177,12306643
808,739956202,131769,143868,824305,6975175,5616,519,163,12535321
1141,845168777,126906,138633,943681,6622174,6660,569,111,14365514
841,942446904,129715,142972,1090243,7924848,7266,600,154,13963811
838,952354377,130599,130599,3438082,7638666,7292,673,156,3412225
818,980824874,131332,146176,3574257,7735101,7468,675,161,4017761
839,1018654636,131808,147547,3605548,9306523,7728,672,157,4724544
851,1043944629,129749,146239,1283974,7678522,8046,488,152,4727999
851,1043944629,129749,146239,1283974,7678522,8046,624,152,16884427
869,1055827681,128103,145253,4558868,7866437,8242,685,147,3468285
846,1080290074,127347,145892,2814139,7514595,8483,677,151,3735121
844,1120324608,127023,146442,4159338,8526822,8820,683,151,4148589
871,1167610115,127118,147749,1687022,7676693,9185,760,146,5103594
871,1167610115,127118,147749,1687022,7676693,9185,696,146,16466011
869,1180564522,127433,127433,3270668,9075219,9264,754,147,4394557
880,1210240010,127350,149482,4027950,7265912,9503,726,145,4936452
346,346363000,139615,171010,7498000,1811000,2481,311,404,9882000
